variable,description
yielded bond fraction,The fraction of bonds that have yielded in a reactive viscoelastic material
weak bond SED,Strain energy density of weak bonds in reactive viscoelastic material
strong bond SED,Strain energy density of strong bonds in reactive viscoelastic material
s norm,The norm of the Cauchy stress
deformation gradient,The deformation gradient $\mathbf{F}$
right Cauchy-Green,The right Cauchy-Green deformation tensor $\mathbf{C}=\mathbf{F}^T \mathbf{F}$
surface area, The area of a surface in the current configuration.
scalar surface load, surface element averaged load. (assumes the surface has a load applied)
continuous damage, the accumulated damage variable in a continuous-discontinuous damage model
continuous damage beta, the $\beta$ parameter in a continuous-discontinuous damage model
continuous damage D1, the D1 parameter in a continuous-discontinuous damage model
continuous damage D2, the D2 parameter in a continuous-discontinuous damage model
continuous damage D3, the D3 parameter in a continuous-discontinuous damage model
continuous damage D2beta, the D2beta parameter in a continuous-discontinuous damage model
continuous damage gamma, the $\gamma$ parameter in a continuous-discontinuous damage model
continuous damage P, the P parameter in a continuous-discontinuous damage model
continuous damage Psi0, the $\Psi_0$ parameter in a continuous-discontinuous damage model
continuous damage Ds, the Ds parameter in a continuous-discontinuous damage model
Deshpande-Fleck stress, Element yield stress based on Deshpande-Fleck criterion
deviatoric fiber stretch, Deviatoric fiber stretch $\tilde{\lambda }$ in a fiber material
discrete element elongation, Change in length of the discrete element (i.e. $\Delta L = L_t - L_0$)
discrete element force, the vector force in the discrete element
discrete element length, Current length of the discrete element
discrete element stretch, Current stretch of the discrete element (i.e. $\lambda = L_t / L_0$)
Drucker shear stress, Element yield stress based on Drucker shear stress criterion
Drucker-Prager stress, Element yield stress based on Drucker-Prager criterion
elastic fluid pressure, Element elastic fluid pressure
infinitesimal strain, The average infinitesimal strain tensor in an element
left Cauchy-Green, The left Cauchy-Green deformation tensor $\mathbf{b}=\mathbf{F} \mathbf{F}^T$
material axes, "The material axes of an element stored as a $3 \times 3$ tensor. The columns of the tensor represent the local x-, y-, and z-axes, respectively."
micro energy, the integrated strain energy of a micro material
mixture stress, the cauchy stress in a component of a solid mixture.
nodal strain, the Green-Lagrange strain tensor projected to the nodes.
osmotic coefficient, the element-averaged osmotic coefficient in a multiphasic material
partition coefficient, the element-averaged solute partition coefficient in a multiphasic material
permeability, the element-averaged permeability in a biphasic-FSI material
pid controller, the output value of a PID controller
PK2 stress, The PK2 stress of the element.
plastic yield stress, The current yield stress in a plastic material
porosity, the element-averaged porosity in a biphasic or multiphasic material
prestrain compatibility, the prestrain compatibility tensor of an elastic-prestrain material
prestrain stretch error, the error in the prestrain stretch of an elastic-prestrain material
rate of deformation, The average rate of deformation tensor (i.e. symmetric part of velocity gradient) in an element
referential solid volume fraction, the referential solid volume fraction in a multiphasic material
rotation, the values of the nodal rotation degrees of freedom stored as a vector
RVE recruitment, weak bond recruitment ratio in reactive viscoelastic material point
sbm areal concentration, SBM areal concentration (mole per shell area) of a shell element
sbm concentration, concentration of a solid-bound molecule in an element
shell displacement, Nodal displacements of the back-nodes of shell elements
solid stress, Cauchy stress in the solid phase of an FSI material
